Dividends,"101,532","101,532","101,532","45,885","81,031"
Dividend per share (KShs),5.20,5.20,5.20,2.35,4.15
Capital expenditure,"85,017","110,539","73,503","83,500","40,352"
Return on total assets,5.7%,1.4%,2.3%,2.3%,6.1%
