"Group
As at 31 December,
2016","Effective
interest
rate","On
demand","Due
within 3
months","Due
within 3
and 12
months","Due
between
1 and 5
years","Over 5
years","Non-
interest
bearing",Total
,%,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"ASSETS
Available-for-sale financial
assets
Shares in quoted
company
Trade and other
receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Trade and other payables
As at 31 December,
2015
ASSETS
Available-for-sale financial
assets
Shares in quoted
company
Trade and other
receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Trade and other payables","11.4
-
-
8
-
12.49
-
-
11
-
-","-
-
-
-
-","-
-
-
-
-","511,637
-
-
106,064
-","11,080
-
-
-
-","-
-
-
-
-","-
198,990
296,135
-
71,417",
,,,,,,,,"522,717"
,,,,,,,,"198,990"
,,,,,,,,"296,135"
,,,,,,,,"106,064"
,,,,,,,,"71,417"
,,-,-,"617,701","11,080",-,"566,542",
,,,,,,,,"1,195,323"
,,-,-,-,-,-,"471,568",
,,,,,,,,"471,568"
,,"-
-
-
-
-","-
-
-
-
89,314","278,438
-
-
31,655
209,217","20,181
-
-
-
-","-
-
-
-
-","-
242,055
355,955
-
102,037",
,,,,,,,,"298,619"
,,,,,,,,"242,055"
,,,,,,,,"355,955"
,,,,,,,,"31,655"
,,,,,,,,"400,568"
,,-,"89,314","519,310","20,181",-,"700,047",
,,,,,,,,"1,328,852"
,,-,-,-,-,-,"605,467",
,,,,,,,,"605,467"
