STANDARDS,AMENDMENTS
"IFRS 3 Business
Combinations
and IFRS 11 Joint
Arrangements","Clarifies how a Company accounts for increasing its interest in a
joint operation that meets the definition of a business:
• If a party maintains (or obtains) joint control, then the
previously held interest is not remeasured.
• If a party obtains control, then the transaction is a business
combination achieved in stages and the acquiring party
remeasures the previously held interest at fair value."
IAS 12 Income taxes,"Clarifies that all income tax consequences of dividends (including
payments on financial instruments classified as equity) are
recognised consistently with the transactions that generated the
distributable profits – i.e. in profit or loss, OCI or equity"
"IAS 23 Borrowing
costs","Clarifies that the general borrowings pool used to calculate eligible
borrowing costs excludes only borrowings that specifically finance
qualifying assets that are still under development or construction.
Borrowings that were intended to specifically finance qualifying
assets that are now ready for their intended use or sale – or any
non-qualifying assets – are included in that general pool.
As the costs of retrospective application might outweigh the
benefits, the changes are applied prospectively to borrowing costs
incurred on or after the date an entity adopts the amendments"
