GROUP,Column,COMPANY
2016,,2016
KShs’000,,KShs’000
"1,076,719",,"1,010,649"
"(524,047)",,"(515,252)"
,"583,239
3,228
(101,093)
(325,199)
160,175
74,343
(12,797)
221,721
(73,121)",
"552,672",,"495,397"
"1,741",,"1,623"
"(102,617)",,"(98,183)"
"(319,428)",,"(267,623)"
"132,368",,"131,214"
"71,863",,"63,930"
"(13,549)",,(760)
"190,682",,"194,384"
"(64,359)",,"(59,914)"
,"148,600",
"126,323",,"134,470"
,"-
(13,783)
(79,717)
13,350",
-,,-
"(6,872)",,-
"(42,366)",,"(42,366)"
(210),,(210)
"(49,448)","(80,150)","(42,576)"
"76,875","68,450","91,894"
,7.61,
6.47,,6.89
