"Kenya
KShs’000","Tanzania
KShs’000","Uganda
KShs’000","Elimination
KShs’000","Tota
KShs’00"
,,,,"1,098,10"
,,,,"120,38"
,,,,"35,88"
,,,,"156,27"
,,,,"(54,615"
,,,,"101,65"
