"Company
As at 31 December,
2016","Effective
interest
rate","On
demand","Due
within 3
months","Due
within 3
and 12
months","Due
between
1 and 5
years","Over 5
years","Non-
interest
bearing",Total
,%,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"ASSETS
Available-for-sale financial
assets
Shares in quoted
company
Trade and other
receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Trade and other payables
As at 31 December,
2015
ASSETS
Available-for-sale financial
assets
Shares in quoted
company
Trade and other
receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Trade and other payables","11.4
-
-
-
-
12.54
-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","511,637
-
-
-
-","11,080
-
-
-
-","-
-
-
-
-","-
198,990
345,352
-
34,896",
,,,,,,,,"522,717"
,,,,,,,,"198,990"
,,,,,,,,"345,352"
,,,,,,,,-
,,,,,,,,"34,896"
,,-,-,"511,637","11,080",-,"579,238",
,,,,,,,,"1,101,955"
,,-,-,-,-,-,"405,268",
,,,,,,,,"405,268"
,,"-
-
-
-
-","-
-
-
-
-","278,438
-
-
-
209,217","20,181
-
-
-
-","-
-
-
-
-","-
242,055
414,788
-
36,698",
,,,,,,,,"298,619"
,,,,,,,,"242,055"
,,,,,,,,"414,788"
,,,,,,,,-
,,,,,,,,"245,915"
,,-,-,"487,655","20,181",-,"693,541",
,,,,,,,,"1,201,377"
,,-,-,-,-,"540,396","540,396",
,,,,,,,,"540,396"
