Group,Company
"2023
KShs’000","2023
KShs’000"
"309,081","297,386"
"85,195","85,195"
390,390
"(6,855)","(6,855)"
"18,454","18,454"
"(9,701)",-
"(2,276)","(2,276)"
998,998
"(25,245)","(25,245)"
"86,951","76,924"
"15,064","15,064"
"2,156","14,247"
"474,212","474,282"
