Group,Company
"2021
KShs’000","2021
KShs’000"
"11,547","(1,218"
"68,853","68,347"
"(70,421)","(70,418)"
826,-
"10,805","(3,289)"
"14,094",-
"(3,289)","(3,289)"
"10,805","(3,289)"
