Group,Column,Company
2016,"2015
KShs’000
3,228",2016
KShs’000,,KShs’000
"1,741",,"1,623"
,"312,626
238,969
125,290
70,292
1,291
48,914
56,170
24,128
151,793
1,029,473",
"227,761",,"222,550"
"255,400",,"246,324"
"124,755",,"124,583"
"70,414",,"63,925"
534,,454
"66,256",,"65,585"
"52,679",,"49,523"
"21,366",,"19,040"
"126,927",,"89,074"
"946,092",,"881,058"
,"603,181
101,093
325,199
1,029,473",
"524,047",,"515,252"
"102,617",,"98,183"
"319,428",,"267,623"
"946,092",,"881,058"
871,,213
"17,075",,"17,028"
