GROUP,Column,COMPANY
2016,,2016
KShs’000,,KShs’000
"773,122",,"709,545"
697,,631
-,,60
"210,070",,"210,070"
"27,528",,"22,442"
"3,293",,"3,293"
"1,014,710","1,068,704","946,041"
,"161,428
278,438
359,601
20,562
31,655
400,568",
"141,969",,"127,553"
"511,637",,"511,637"
"320,284",,"364,159"
"49,221",,"39,662"
"106,064",,-
"71,417",,"34,896"
,"1,252,252",
"1,200,592",,"1,077,907"
,"2,320,956",
"2,215,302",,"2,023,948"
,"97,627
2,554
191,219
1,422,706",
"97,627",,"97,627"
"2,554",,"2,554"
"141,771",,"173,514"
"1,447,497",,"1,276,510"
,"1,714,106",
"1,689,449",,"1,550,205"
,"606,850",
"525,853",,"473,743"
,"606,850",
"525,853",,"473,743"
,"2,320,956",
"2,215,302",,"2,023,948"
