GROUP,Column,Column,COMPANY,Column
"2021
KShs’000",,"2020
KShs’000
1,098,104
(616,942)
481,162
8,490
(102,374)
(266,890)
120,388
37,070
(1,187)
156,271
(54,615)
101,656","2021
KShs’000",
"1,381,768",,,"1,376,117",
"(821,875)",,,"(819,130)",
"559,893",,,"556,987",
(920),,,47,
"(105,122)",,,"(103,814)",
"(325,707)",,,"(302,839)",
"128,144",,,"150,381",
"41,859",,,"41,859",
"(1,010)",,,"(1,010)",
"168,993",,,"191,230",
"(60,644)",,,"(60,641)",
"108,349",,,"130,589",
(451),,,,
,(451),"5,637
60,885",-,"-
60,885"
,"(16,335)",,"(16,335)",
"(16,786)",,,"(16,335)",
"91,563",,,"114,254",
5.55,,,6.69,
