GROUP,Column,COMPANY
2017,,2017
KShs ’000,,KShs ’000
"967,626",,"872,666"
"(450,200)",,"(413,715)"
,"552,672
1,741
(102,617)
(319,428)
132,368
71,863
(13,549)
190,682
(64,359)",
"517,426",,"458,951"
"9,137",,"9,137"
"(128,100)",,"(122,936)"
"(368,786)",,"(302,414)"
"29,677",,"42,738"
"73,784",,"68,508"
"(19,848)",,"(13,452)"
"83,613",,"97,794"
"( 44,234)",,"(37,017)"
,"126,323",
"39,379",,"60,777"
,"( 6,872)
(42,366)
(210)",
"1,272",,-
"(18,062)",,"(18,062)"
576,,576
"(16,214)","(49,448)","(17,486)"
"23,165","76,875","43,291"
,6.47,
2.02,,3.11
