VALUATION OF INVENTORY,Column
"See Note 4 (i) on the Group’s and Company’s accounting policy on valuation of inventory and
disclosures on Note 21.",
The key audit matter,How the matter was addressed in our audit
"The Group and Company holds a
significant amount of inventory which
comprises finished goods, items for the
processing of gases and spare parts.
Inventory may be held for long periods of
time before utilisation making it vulnerable
to obsolescence.
Valuation of inventory is considered a key
audit matter because the assessment and
application of inventory provisions and
the determination of realisable value are
subject to significant judgment, made by
the directors.","Our audit procedures in this area included, among others:
• Attending the inventory count at the year end and
observing if there were any obsolete or slow moving
items;
• Inspecting the inventory ageing report and
recomputing the inventory provision on the basis of
the accounting policy; and
• Testing a sample of stock items to assess whether
they were held at the lower of cost and net realisable
value, and evaluating management judgment with
regards to the application of provisions for inventory
obsolescence."
PROVISIONS FOR TAX LIABILITIES,
"See Note 5 (a) (ii) on the Group’s and Company’s critical accounting estimates and judgments on
taxes and note 30 on contingent liabilities.",
The key audit matter,How the matter was addressed in our audit
"The Group and Company is subject to tax
reviews and claims made by the relevant
tax regulatory authorities within the
jurisdictions in which it operates.
Management applies significant judgement
when considering whether, and how much,
to provide for the potential exposures
arising from each claim.
Provision for tax liabilities is considered a
key audit matter because of the magnitude
of the potential exposures across the
Group, and the complexity and judgement
necessary to determine whether to
provide for, disclose or not disclose certain
exposures.","Our audit procedures in this area included, among others:
• Discussing with management the nature of ongoing
claims and assessments, and reviewing the latest
status of the claims to assess the consequent
accounting and disclosure implications;
• Inspecting correspondence with the tax authorities
and from the Group’s external tax experts relating
to significant tax assessments and claims in order to
assess completeness of provisioning and disclosure;
and
• Considering the adequacy and completeness of the
Group’s disclosures made in relation to contingent
liabilities."
