Group,Column,Company
2017,"2016
KShs’000
1,741",2017
KShs’000,,KShs’000
"9,137",,"9,137"
,"231,125
264,618
124,755
70,382
534
66,256
52,297
(4,962)
21,366
119,721
946,092",
"230,745",,"197,543"
"271,056",,"261,064"
"98,345",,"98,218"
"78,385",,"72,104"
259,,194
"24,930",,"24,759"
"56,171",,"53,362"
"19,922",,"17,230"
"19,321",,"16,412"
"147,952",,"98,179"
"947,086",,"839,065"
,"524,047
102,617
319,428
946,092",
"450,200",,"413,715"
"128,100",,"122,936"
"368,786",,"302,414"
"947,086",,"839,065"
993,,204
,,"18,369"
"18,369",,
