Skills and Competences for BOC Board,Mbugua,Mwangi,Maina,Ramashala,Wetende,Kamau
Gas Industry Knowledge,,,,,,
Listed Company Board Experience,,,,,,
"Governance Leadership/Corporate
Management",,,,,,
Trade Block Experience,,,,,,
Audit/Finance,,,,,,
Risk Management,,,,,,
"Local Regulation/Public Policy/Govt.
relations",,,,,,
Legal,,,,,,
Marketing/Sales/Distribution,,,,,,
"People/Organizational Development/
Remuneration",,,,,,
Information Technology,,,,,,
Manufacturing Industry experience,,,,,,
Public Health Experience,,,,,,
