Reward,Purpose and link to strategy,Mechanics of reward,Performance metrics
Basic Salary,"Attract and retain high calibre individuals
to deliver the Company’s strategic plans by
offering market competitive remuneration to
reflect an individual’s skills and experience.","- Paid in 12 equal monthly instalments
during the year and is pensionable.
- Reviewed annually with salary
changes effective from April depending
on performance.","Individual and business
performance"
Pension,"Provide competitive post-retirement benefit
arrangements so as to attract and retain high
calibre talent to drive delivery of strategy.","Annual contribution up to the 10% of
basic salary.",None
Other benefits,"Provide market competitive benefits which:
- facilitate the attraction and retention of high
calibre talent to deliver the Group’s strategic
plans; and
- recognise that such talent is global in source
and that the availability of certain benefits are
key enablers for attraction and retention.","Range of benefits include:
- Housing allowance
- Transport allowance
- Medical insurance
- Personal life and accident insurance",None
"Short term
Incentives Plan","Incentivise the attainment of corporate targets
aligned to the strategic objectives of the Group
on an annual basis.","- Payout is done annually in April after
measurements and approval of results.
- 100% of the bonus is paid in cash.
- Payout is 25% of annual Salary for
Managing Director and 15% for Finance
Director","Targets are set annually
based on the group and
company business plans."
