GROUP,COMPANY
"2020
KShs’000","2020
KShs’000"
"673,918","671,202"
"11,089","11,089"
-,-
-,60
"179,685","179,685"
"33,267","33,267"
"897,959","895,303"
"160,012","157,346"
"245,043","245,043"
"457,947","431,549"
"12,799",-
"243,934","243,934"
"71,564","46,817"
"1,191,299","1,124,689"
"2,089,258","2,019,992"
"97,627","97,627"
"2,554","2,554"
"104,902","129,958"
"1,402,485","1,374,259"
"1,607,568","1,604,398"
"7,768","7,768"
"1,052","1,052"
"1,252","1,218"
"471,618","405,556"
"473,922","407,826"
"2,089,258","2,019,992"
