GROUP,COMPANY
"2019
KShs’000","2019
KShs’000"
"773,811","767,919"
"10,182","10,182"
62,62
-,60
"118,800","118,800"
"8,871","10,684"
-,-
"911,726","907,707"
"155,032","151,232"
"226,458","226,458"
"374,357","350,968"
"54,088","42,390"
"232,998","151,415"
"37,980","18,373"
"1,080,913","940,836"
"1,992,639","1,848,543"
"97,627","97,627"
"2,554","2,554"
"38,380","69,073"
"1,300,829","1,207,117"
"1,439,390","1,376,371"
"6,556","6,556"
885,885
183,-
-,-
"545,625","464,731"
"546,693","465,616"
"1,992,639","1,848,543"
