GRI Standard and Disclosure,Information,UNGC Principles,SDG Goals
"Employee Safety, Health & Wellbeing",,,
"GRI 103: Management Approach Disclosure
103–1 Explanation of the material topic and its
boundary
GRI 403: Occupational Health and Safety
Disclosure 403–1 Occupational health and safety
management system
Disclosure 403–2 Hazard identification, risk
assessment, and incident investigation
Disclosure 403–3 Occupational health services
Disclosure 403–4 Worker participation,
consultation, and communication on
occupational health and safety
Disclosure 403–5 Worker training on
occupational health and safety
Disclosure 403–6 Promotion of worker health
Disclosure 403–7 Prevention and mitigation of
occupational health and safety impacts directly
linked by business relationships
Disclosure 403–9 Work-related injuries
Disclosure 403–10 Work-related ill health",,,
Local Community Development,,,
"GRI 103: Management Approach
Disclosure 103–1 Explanation of the material
topic and its boundary
Disclosure 103–2 The management approach and
its
GRI 413: Local Communities Disclosure 413–1
Operations with local community engagement,
impact assessments, and development program
Disclosure 413-2 Operations with significant
actual and potential negative impacts on local
communities",,,SDG 17
Environment,,,
"GRI 301 Materials
Disclosure 301-3 Reclaimed products and their
packaging materials",,"7, 8, 9",SDG 12
"GRI 302 Energy Efficiency
Disclosure 302–1 Energy consumption within the
organization
Disclosure 302–4 Reduction of energy
consumption",,"7, 8, 9",SDG 12
