Notes,"2010
Shs’million","2009
Shs’million"
"15(b)
16
17
18
19
20 (b)
35 (iii)","8,128
1
72
810
968
911
257","8,400
1
100
556
968
906
-
10,931
3,409
-
2,203
-
5,865
11,477
22,408
1,815
2,126
703
-
12,094
16,738
1,762
500
2,262
328
30
149
2,901
3,408
22,408"
,"11,147",
"22
35 (iii)
23(a)
24
25","2,341
29
2,180
19
7,215",
,"11,784",
,"22,931",
"26
27(a)
27(b)
27(d)","1,815
1,942
708
19
12,837",
,"17,321",
28,"1,707",
29,513,
,"2,220",
"11(c)
14(a)
29
30","72
30
147
3,141",
,"3,390",
,"22,931",
