VOLUME,NUMBER OF SHARES,%,"NUMBER OF
HOLDERS"
,"260,743",0.07%,"1,357"
,"2,428,236",0.67%,"1,237"
,"1,712,745",0.47%,242
,"14,791,876",4.08%,439
,"49,452,620",13.62%,164
,"294,313,055",81.09%,14
,"362,959,275",100.00%,"3,453"
