Description,FY 2017,Budget FY 2017,Actual FY 2016
,2.74,-,1.51
,1.1,-,0.5
,1,-,-
,2,-,1
,7,-,5
,19,-,11
,94%,90%,95%
,3115,2028,3617
,987,600,145
,608,400,2920
