New and amendments to Standards,Column,Effective date on annual periods beginning
,,on or after
IFRS 17: Insurance Contracts,1 January 2023,
"IFRS 10 and IAS 28 (amendments): Sale or Contribution
of Assets between an Investor and its Associate or Joint
Venture",Postponed indefinitely ed.,
"Amendments to IAS 1: Classification of Liabilities as
Current or Non-current",1 January 2024,
"Amendments to IAS 1 and IFRS Practice Statement 2
Disclosure of Accounting Policies",1 January 2023,
"Amendments to IAS 8
Definition of Accounting Estimates",1 January 2023,
"Amendments to IAS 12
Deferred Tax related to Assets and Liabilities arising
from a Single Transaction",1 January 2023,
"Lease Liability in a Sale and Leaseback – Amendments to
IFRS 16",1 January 2024,
