GROUP COMPANY,Column,Column,Column,Column
,"2013
Shs’million","2012
Shs’million","2013
Shs’million","2012
Shs’million"
"4. REVENUE
Cement
Precast products
Ready mix
Others","32,276
669
843
140","35,911
642
802
136","20,583
-
-
-","22,877
-
-
-"
,"33,928","37,491","20,583","22,877"
"5. COST OF SALES
Electricity
Fuel (Coal, Fuel oil,and Alternative fuels)
Maintenance supplies and contract works
Imported clinker
Packaging
Additives and production supplies
Freight of raw materials
Purchased cement and clinker costs
Staff costs
Professional fees
Telecommunication costs
Transport and travelling costs
Rentals, security and business licences
Depreciation on property, plant and equipment
Amortisation of intangible assets and leasehold land
Inventory movement","2,955
4,503
1,541
1,604
1,348
3,099
5,076
1,251
1,457
157
37
73
332
1,437
41
500","3,101
5,047
1,471
3,446
1,518
2,953
4,367
1,883
1,486
164
39
81
408
1,223
32
416","1,966
2,013
909
1,604
839
1,340
3,571
-
957
41
15
47
150
849
27
199","2,063
2,217
817
3,446
1,020
1,865
3,063
128
1,047
45
12
55
147
758
21
298"
,"25,411","27,635","14,527","17,002"
"6. INVESTMENT INCOME
Interest income – held to maturity bank deposits
Interest income – subsidiary loan [Note 33 (iii)]
Dividends income – available-for-sale investments
Dividends income from subsidiary","473
-
-
-","651
-
6
-","464
21
-
198","618
24
6
590"
,473,657,683,"1,238"
