"Land and
residential
buildings
Shs’million",Column,"Plant and
machinery
Shs’million","Office
equipment
and tools
Shs’million","Mobile
Plant
Shs’million","Capital work-in-
Progress ** Total
Shs’million Shs’million",Column
"Cost or valuation
At 1 January 2013
Additions
Property, plant and
equipment retirement
Transfers","7,070
-
-
-","20,858
127
-
453","787
27
-
-","657
7
-
-","685
-
-
(453)","30,057
161
-
-"
At 31 December 2013,"7,070","21,438",814,664,232,"30,218"
"Depreciation
At 1 January 2013
Charge for the year
Disposals
At 31 December 2013","81
16
-
97","14,045
747
-
14,792","473
93
-
566","523
23
-
546","-
-
-
-","15,122
879
-
16,001"
"Net carrying amount
At 31 December 2013","6,973","6,646",248,118,232,"14,217"
"Year ended 31 December 2012
Cost or valuation
At 1 January 2012
Additions
Property, plant and
equipment retirement
Transfers
Revaluation","863
-
(2)
225","19,918
-
-
424","692
90
-
5","576
-
-
81","875
559
(14)
(735)","22,924
649
(16)
-"
,"5,984",516,-,-,-,"6,500"
At 31 December 2012,"7,070","20,858",787,657,685,"30,057"
"Depreciation
At 1 January 2012
Charge for the year
Disposals
At 31 December 2012","70
11
-","13,373
672
-","387
86
-","509
14
-","-
-
-","14,339
783
-"
,81,"14,045",473,523,-,"15,122"
"Net carrying amount
At 31 December 2012","6,989 6,813 314 134 685",,,,,"14,935"
