"At
(cid:24)(cid:3)(cid:49)(cid:72)(cid:85)(cid:92)(cid:72)(cid:89)(cid:96)(cid:3)
2018","(cid:55)(cid:89)(cid:86)(cid:196)(cid:91)(cid:3)(cid:86)(cid:89)(cid:3)(cid:83)(cid:86)(cid:90)(cid:90)
(Note 12 (a))","Other
comprehensive
income","At
31 December
2018"
Shs’million,Shs’million,Shs’million,Shs’million
"2,798",841,-,"3,639"
(28),3,-,(25)
(44),12,-,(32)
9,21,-,30
(167),(19),5,(181)
(83),15,-,(68)
0,(32),-,(32)
(22),(23),-,(45)
(24),14,-,(10)
-,(28),-,(28)
12,(12),-,-
-,(628),-,(628)
"2,451",164,5,"2,620"
