Director,22 February,6 June,1 August,13 September,28 November
S M’Mbijjewe,√,√,√,√,√
C Kisire,√,√,√,√,√
D Brugier,√,√,√,x,√
Auditors,,,,,
S Kibirige,√,√,√,√,√
Deloitte & Touche,√,√,n/a,n/a,n/a
Ernst & Young,n/a,n/a,n/a,√,n/a
