Name,Date of Contract,Duration,Notice Period
Mohit Kapoor,1 April 2023,3 years,6 months
Eugene Antera,1 June 2023,Open Ended,3 months
Jean-Michel Pons,7 June 2019,"3 years
Extended for 2 year up to
31 May 2024",3 months
