Notes,"2010
Shs’million","2009
Shs’million"
"34
5
9
11(c)","10,949
128
(91)
(2,251)","10,623
85
(14)
(1,732)
8,962
(3,281)
1,346
5
18
(1,912)
(1,561)
(1,104)
239
(2,426)
4,624
1,758
4,624
45
6,427"
,"8,735",
"20 (c)
5","(3,429)
-
5
15",
,"(3,409)",
"14(b)
31(a)
31(b)","(3,993)
(3,034)
2,872",
,"(4,155)",
,"1,171",
,"6,427
1,171
18",
25(b),"7,616",
