"EUR
Shs’million","USD
Shs’million","TOTAL
Shs’million"
"539
334","712
1,680","1,251
2,014"
873,"2,392","3,265"
-,"1,107","1,107"
-,"1,107","1,107"
873,"1,285","2,158"
"-
42","369
142","369
184"
42,511,553
"-
-","553
1,104","553
1,104"
-,"1,657","1,657"
42,"(1,146)","(1,104)"
