Share,Asset,Retained,Total
capital,"revaluation
reserve",earnings,equity
Shs’million,Shs’million,Shs’million,Shs’million
Note 24,Note 25(a),,
"1,815","10,662","10,063","22,540"
-,-,"1,008","1,008"
-,-,(39),(39)
-,-,969,969
-,(231),231,-
-,-,"(1,488)","(1,488)"
"1,815","10,431","9,775","22,021"
