"Site
restoration
and litigation
Shs’ million","Leave
pay
Shs’ million","2014
Total
Shs’ million","2013
Total
Shs’ million"
692,,717,
134,,142,
(78),,(86),
748,,773,
291,,316,
457,,457,
748,,773,
672,,697,
176,,184,
(78),,(86),
770,,795,
376,,376,
394,,419,
770,,795,
