Column,"EUR
Shs’million","USD
Shs’million","TOTAL
Shs’million"
"31 December 2013:
Assets
Trade and other receivables
Bank balances","-
249","751
4,203","751
4,452"
Total assets,249,"4,954","5,203"
"Liabilities
Trade and other payables",3,815,818
Net exposure position,246,"4,139","4,385"
"31 December 2012:
Assets
Trade and other receivables
Bank balances","-
701","1,175
1,940","1,175
2,641"
Total assets,701,"3,115","3,816"
"Liabilities
Trade and other payables","1,256","2,570","3,826"
Net exposure position,(555),545,(10)
