"Freehold
land and
residential
buildings","Plant and
machinery","Office
equipment
and tools","Mobile
plant","Capital
work-in-
progress **",Total
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"7,738","34,217","1,415",880,612,"44,862"
(75),70,(201),206,-,-
(21),(876),(16),(12),(28),(953)
5,8,4,6,384,407
-,(31),(68),(256),-,(355)
-,341,30,32,(403),-
(28),"(1,061)",(36),(8),-,"(1,133)"
"7,619","32,668","1,128",848,565,"42,828"
555,"19,394","1,214",802,-,"21,965"
(184),269,(238),140,-,(13)
(11),(276),(14),(9),-,(310)
43,"1,370",89,55,-,"1,557"
-,(19),(68),(256),-,(343)
(17),"(1,061)",(36),(7),-,"(1,121)"
386,"19,677",947,725,-,"21,735"
"7,233","12,991",181,123,565,"21,093"
