DOMICILE,NUMBER OF SHARES,%,NUMBER OF HOLDERS
Foreign Institutions,"245,938,992",67.76%,53
Foreign Individuals,"265,464",0.07%,49
Local Institutions,"104,250,019",28.72%,653
Local Individuals,"12,504,800",3.45%,"2,230"
TOTAL,"362,959,275",100.00%,"2,985"
