Column,Column,"Adjustments and
eliminations",Column
Kenya,Uganda,,Consolidated
"19,594","16,380",-,"35,974"
"2,951",-,"(2,951)",-
"22,545","16,380","(2,951)","35,974"
"(17,249)","(11,763)","2,951","(26,061)"
"5,296","4,617",-,"9,913"
23%,28%,-,28%
40,-,-,40
138,12,-,150
-,25,-,25
"1,953","2,163",-,"4,116"
"(1,080)","(1,063)",-,"(2,143)"
873,"1,100",-,"1,973"
"29,479","18,872",(1148),"47,203"
"7,467","6,987",(451),"14,003"
"1,067",595,-,"1,662"
243,-,-,243
