At 1 Jan. 16,"Profit or loss
(Note 12 (a))","Other comprehensive
income",At 31 Dec. 16
Shs’million,Shs’million,Shs’million,Shs’million
"1,425",(360),-,"1,065"
(18),(4),-,(22)
(52),14,-,(38)
18,72,-,90
(195),1,10,(184)
(65),(68),-,(133)
(16),6,-,(10)
(15),-,-,(15)
"1,082",(339),10,753
