GROUP COMPANY,Column,Column,Column,Column
,"2013
Shs’million","2012
Shs’million","2013
Shs’million","2012
Shs’million"
"11(a) PROFIT BEFORE TAX
The profit before tax is arrived at after charging
Interest expense
Staff costs (note 11b)
Depreciation on property, plant and equipment (Note 15)
Amortisation of intangible assets (Note 17)
Amortisation of prepaid lease rentals (Note 16)
Impairment losses
Foreign exchange loss
Director’s fees (note 33 (iv))
Other key management emoluments
Auditors’ remuneration","121
2,337
1,485
50
1
31
-
4
116
10","251
2,354
1,278
36
8
-
(98)
4
123
10","-
1,472
879
43
-
31
-
4
116
4","-
1,627
783
34
-
-
(20)
4
123
8"
"And after crediting:
Interest income
Dividend income
Foreign exchange gain
(Loss)/Gain on disposal of property, plant and equipment
(b) STAFF COSTS
Salaries and wages
Retirement benefits costs
Staff welfare costs","473
-
46
(18)
1,534
207
596","651
-
-
1
1,639
173
542","485
198
2
-
928
173
371","642
596
-
1,088
191
348"
,"2,337","2,354","1,472","1,627"
"Presented as:
Cost of sales (Note 5)
Administration expenses (Note 8)","1,457
880","1,486
868","922
550","1,047
580"
,"2,337","2,354","1,472","1,627"
