NEW STANDARDS OR AMENDMENTS,"EFFECTIVE DATE ON ANNUAL
PERIODS BEGINNING ON OR AFTER"
"Amendments to IAS 1: Classification of liabilities as current
or non-current",1 January 2024
"Amendments to IAS 1: Non - current liabilities with
covenants",1 January 2024
"Amendments to IAS 7 and IFRS 7: Supplier finance
arrangements",1 January 2024
"Amendments to IFRS 16: Lease Liability in a Sale and
Leaseback",1 January 2024
"IFRS 10 and IAS 28 (amendments): Sale or Contribution
of Assets between an Investor and its Associate or Joint
Venture",Postponed indefinitely.
