"EUR
Shs’million","USD
Shs’million","TOTAL
Shs’million"
"539
371","712
1,917","1,251
2,288"
910,"2,629","3,539"
"124
-","2,079
3,332","2,203
3,332"
124,"5,411","5,535"
786,"(2,782)","(1,996)"
"-
156","369
696","369
852"
156,"1,065","1,221"
"17
-","848
4,512","865
4,512"
17,"5,360","5,377"
139,"(4,295)","(4,156)"
