"EUR
Shs’million","USD
Shs’million","TOTAL
Shs’million"
"-
543","938
3,040","938
3,583"
543,"3,978","4,521"
131,"2,505","2,636"
131,"2,505","2,636"
412,"1,473","1,885"
"539
371","712
1,917","1,251
2,288"
910,"2,629","3,539"
"124
-","2,079
3,332","2,203
3,332"
124,"5,411","5,535"
786,"(2,782)","(1,996)"
