Gain/(loss) on disposal of assets,112,Column,210,Column,(20),Column,Column,-
Gain on reassessment of leases,,,,9,,-,-,
Foreign exchange losses,,(687),,(862),,(346),,(65)
Foreign exchange gains,,498,,933,,349,,120
,,(189),,71,,3,,55
Total other gains and losses,,(77),,290,,(17),,55
