Item,Column,Breakdown,2017,2016
,,,Shs,Shs
Salary,,,"38,223,5321","34,435,609"
Performance Bonus,,,"4,873,301","9,087,656"
Taxable Benefits,Cash,Car allowance,-,-
,,Lunch allowance,-,-
,,House allowance,-,-
,,Utility allowance,"1,141,126","1,263,942"
,,Telephone allowance,"2,309,987","1,551,021"
,,Home travel allowance,-,-
,,School fees allowance,-,-
,,Accrued leave,-,-
,Non-cash,Health insurance,"891,009","731,124"
,,Company car,"5,879,668","5,417,506"
,,Company driver,"655,774","558,316"
,,House,"10,159,074","8,603,778"
,,Security,"1,302,003","621,381"
,,Travel to home country,"980,416","775,344"
,,Tax advice,"830,868","936,953"
Other benefits,,School fees allowance,"2,293,015","895,051"
,,GPA insurance,-,-
,,Group life insurance,-,-
Pension,,,"9,344,986","8,902,540"
Total,,,"78,884,759","73,780,221"
