Description of valuation techniques used and key inputs to valuation of assets and liabilities,Column,Column,Column,Column
,"Valuation
technique","Significant
unobservable inputs","Range
(weighted
average)","Sensitivity of the
input to fair value"
Land,"Market
Comparable
Approach",Price per acre,"Between Kes
1 million and
Kes 30 million","0.5% (2021: 0.5%)
increase (decrease)
would result in an
increase/(decrease) in
fair value by Kes 57.62
million."
Buildings,"Market
Comparable
Approach","Estimated rental
value per square
meter per month.","Kes 30 per
square meter","0.5% (2021: 0.5%)
increase (decrease)
would result in an
increase/(decrease) in
fair value by Kes 2,92
million."
,,Rent growth p.a.,5%,
"Plant and
machinery","Depreciated
replacement cost
for plant and
machinery","Capital expenditure
for a model plant at
above capacity
assuming supply
from China.","Between Kes
1,358 million
and Kes 2,729
million.","0.5% (2021: 0.5%)
increase (decrease)
would result in an
increase/(decrease) in
fair value by Kes 128.97
million."
