Column,Asset,Available-,Column,Column,Column,Non-,Column
Share,revaluation,for-sale,Translation,Retained,,controlling,Total
capital,reserve,reserve,reserve,earnings,Total,interests,equity
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
Note 24,Note 25(a),Note 25(b),Note 25(c),,,,
"1,815","7,424",332,"(1,030)","18,348","26,889","2,817","29,706"
-,-,-,-,"5,243","5,243",647,"5,890"
-,-,(257),(766),31,(992),(5),(997)
-,-,(257),(766),"5,274","4,251",642,"4,893"
-,(261),-,-,261,-,-,-
-,-,-,-,(16),(16),-,(16)
-,-,-,-,"(2,541)","(2,541)",(45),"(2,586)"
-,-,-,-,"(2,178)","(2,178)",-,"(2,178)"
-,-,-,-,"(4,719)","(4,719)",(45),"(4,764)"
"1,815","7,163",75,"(1,796)","19,148","26,405","3,414","29,819"
