Meeting Type,Location,Column,Column,Column,Column,Column,Column
,Kisauni,Vipingo,Diani,Mbaraki,Kathiani,Mutomo,Kasese
Quarterly Stakeholders Committee Meeting,4,3,3,N/A,4,3,N/A
Broad Consultative Forum,2,2,2,N/A,0,3,N/A
Courtesy calls to local officials,6,4,3,2,3,3,4
Meeting with Area MP or other leaders,2,2,0,N/A,4,4,4
Meeting with employees living around the factory,2,N/A,N/A,N/A,1,N/A,4
Local community events e.g. sports or cultural days,2,2,2,N/A,2,1,2
Plant visits by community representatives,2,2,N/A,2,4,N/A,4
Totals per site,20,15,10,4,18,14,18
