"Freehold land
and residential
buildings","Plant and
machinery","(cid:54)(cid:1117)(cid:74)(cid:76)(cid:3)
equipment and
tools","Capital work-in-
progress **",Total
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"9,519","25,752","1,404","2,400","39,075"
-,"2,312",57,"(2,369)",-
337,"1,123",53,702,"2,215"
-,-,(4),-,(4)
(838),-,-,-,(838)
"9,018","29,187","1,510",733,"40,448"
895,"17,438","1,255",-,"19,588"
69,"1,002",58,-,"1,129"
-,-,-,-,-
964,"18,440","1,313",-,"20,717"
"8,054","10,747",197,733,"19,731"
