GRI STANDARD,DISCLOSURE,LOCATION
GRI General Disclosures,,
"GRI 403: Occupational
Health and Safety","403-2 Hazard identification, risk assessment, and
incident investigation",Health and Safety
,403-3 Occupational health services,Health and Safety
,"403-4 Worker participation, consultation, and
communication on occupational health and safety",Health and Safety
,"403-5 Worker training on occupational health and
safety",Health and Safety
,403-6 Promotion of worker health,Health and Safety
,"403-7 Prevention and mitigation of occupational
health and safety impacts directly linked by busi-
ness relationships",Health and Safety
,"403-8 Workers covered by an occupational health
and safety management system",Health and Safety
,403-9 Work-related injuries,"Performance data sheet: Health and
Safety"
,403-10 Work-related ill health,"Performance data sheet: Health and
Safety"
"GRI 404: Training and
Education","404-1 Average hours of training per year per
employee",Employee Learning and Development
,"404-2 Programs for upgrading employee
skills and transition assistance programs",Employee Learning and Development
,"404-3 Percentage of employees receiving
regular performance and career development
reviews",
"GRI 405: Diversity and Equal
Opportunity","405-1 Diversity of governance bodies and
employees","Performance data sheet: Employee and
Diversity"
,"405-2 Ratio of basic salary and remuneration of
women to men","Nomination, Remuneration & Human
Resources Committee (N,R&HRC)"
GRI 406: Non-discrimination,"406-1 Incidents of discrimination and corrective
actions taken",Corporate Governance
"GRI 407: Freedom of Associa-
tion and Collective Bargaining","407-1 Operations and suppliers in which the right
to freedom of association and collective bargain-
ing may be at risk",Corporate Governance
GRI 408: Child Labour,"408-1 Operations and suppliers at significant risk
for incidents of child labour",Corporate Governance
"GRI 409: Forced or
Compulsory Labour","409-1 Operations and suppliers at significant risk
for incidents of forced or compulsory labour",Corporate Governance
GRI 410: Security Practices,"410-1 Security personnel trained in human rights
policies or procedures",Corporate Governance
"GRI 411: Rights of Indigenous
Peoples","411-1 Incidents of violations involving rights of
indigenous peoples",Corporate Governance
GRI 413: Local Communities,"413-1 Operations with local community engage-
ment, impact assessments, and development
programs",Social Investments and Human Rights
,"413-2 Operations with significant actual and
potential negative impacts on local communities",
"GRI 414: Supplier Social
Assessment","414-1 New suppliers that were screened using
social criteria","Material Topic, Sustainable Procurement"
,"414-2 Negative social impacts in the supply chain
and actions taken","Material Topic, Sustainable Procurement"
