The attendance of the Board meetings above for the year under review is indicated below.,Column,Column,Column,Column,Column,Column
Director,Category,6 March,6 June,24 June,7 August,4 December
,Non-executive,"√
√
√
√
√
√
√",√,"√
x
x
√
√
x
√",√,
,Non-executive,,√,,√,
,Non-executive,,x,,√,
,Non-executive,,√,,√,
,Executive,,√,,√,
,Non-executive,,√,,√,
,Executive,,x,,,
,Executive,,,,√,
,Executive,,√,,√,
,Non-executive,,n/a¹,,n/a¹,
,Non-executive,,√,,x,
,Non-executive,,√,,√,
