Column,Column,Column,Total
,Total,,equity
,Shs’million,,Shs’million
,,"2,391",
,"26,728",,"29,119"
"- - - - 5,260
- - (127) (581) 27","5,260","612
-","5,872"
,(681),,(681)
,,612,
,"4,579",,"5,191"
,,"-
-",
,-,,-
,(62),,(62)
"- - - - (2,178)
- - - - (2,178)","(2,178)","(93)
(93)","(2,271)"
,"(2,178)",,"(2,271)"
,"(4,356)",(186),"(4,542)"
