Share,"Asset
revaluation",Fair value,Retained,Total
capital,reserve,reserve,earnings,equity
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
Note 24,Note 25(a),Note 25(b),,
"1,815","10,899",102,"9,019","21,835"
-,-,-,76,76
-,-,-,"1,645","1,645"
-,-,(121),12,(109)
-,-,19,(19),-
-,-,(102),"1,638","1,536"
-,(237),-,237,-
-,-,-,(544),(544)
-,-,-,(363),(363)
,,,(907),(907)
"1,815","10,662",-,"10,063","22,540"
