VOLUME,NUMBER OF SHARES,%,NUMBER OF HOLDERS
,"260,766",0.07%,"1,448"
,"2,361,287",0.65%,"1,201"
,"1,479,013",0.41%,209
,"14,077,370",3.88%,404
,"43,642,459",12.02%,145
,"301,138,380",82.97%,14
,"362,959,275",100.00%,"3,421"
