GROUP COMPANY,Column,Column,Column,Column
,"2013
Shs’million","2012
Shs’million","2013
Shs’million","2012
Shs’million"
"(a) Tax charge
Current tax based on the adjusted profit at 30%
Deferred tax credit/charge (note 26)","1,866
(23)","1,849
445","1,582
(70)","1,640
(93)"
Total tax charge,"1,843","2,294","1,512","1,547"
"(b) Reconciliation of expected tax based
on accounting profit to tax charge:
Profit before tax
Tax calculated at the domestic rates applicable of 30 %
Tax effect of income not subject to tax
Tax effect of expenses not deductible for tax purposes","5,516
1,655
(61)
249","7,176
2,153
(30)
171","4,715
1,415
(59)
156","5,423
1,627
(206)
126"
Total tax charge,"1,843","2,294","1,512","1,547"
"(c) Net tax (recoverable)/payable at
At the beginning of the year
Tax charge
Tax paid","(375)
1,866
(1,808)","(417)
1,849
(1,807)","(119)
1,582
(1,535)","(388)
1,640
(1,371)"
Net tax balance at end of the year,(317),(375),(72),(119)
"Comprising
Tax (recoverable)/payable",(317),(375),(72),(119)
Net tax (recoverable)/payable at end of the year,(317),(375),(72),(119)
