"2010
Shs’million","2009
Shs’million"
"30
3,993
(3,993)","30
1,561
(1,561)
30
1,017
544
-
1,561
544
1,997
1,452
3,993
Shs 11.00"
30,
"1,997
544
1,452",
"3,993",
"544
2,541
-",
"3,085",
Sh 8.50,
