GROUP,"Level 1
Shs’million","Level 2
Shs’million","Level 3
Shs’million"
"31 December 2013
Assets
Property, plant and equipment
-Freehold land and buildings
-Plant and machinery
Available for sale financial assets
-Other quoted investments
Liabilities
Term loan
31 December 2012
Property, plant and equipment
- Freehold land and buildings
- Plant and machinery
Available for sale financial assets
-Other quoted investments
Liabilities
Term loan","-
-
787","-
-
-","7,083
9,028
-"
,-,793,-
,"-
-
787","-
-
-","7,103
9,028
-"
,-,952,-
COMPANY,"Level 1
Shs’million","Level 2
Shs’million","Level 3
Shs’million"
"31 December 2013
Property, plant and equipment
-Freehold land and buildings
-Plant and machinery
Available for sale financial assets
-Other quoted investments
Loan to subsidiary
31 December 2012
Property, plant and equipment
-Freehold land and buildings
-Plant and machinery
Available for sale financial assets
-Other quoted investments
Loan to subsidiary","-
-
452","-
-
-","6,990
6,417
-"
,-,221,-
,"-
-
452","-
-","6,990
6,417
-"
,-,250,-
