Column,Asset,Column,Column,Column,Non-,Column
Share,revaluation,Translation,Retained,Owners of the,controlling,Total
"capital
Shs’million","reserve
Shs’million","reserve
Shs’million","earnings
Shs’million","Company
Shs’million","interests
Shs’million","equity
Shs’million"
Note 24,Note 25(a),Note 25(c),,,,
"1,815","11,906","(2,042)","18,032","29,711","3,752","33,463"
-,-,-,(135),(135),(58),(193)
______,______,______,______,______,______,______
"1,815","11,906","(2,042)","17,897","29,576","3,694","33,270"
-,-,-,633,633,(274),359
-,-,15,(33),(18),9,(9)
-,-,15,600,615,(265),350
-,(242),-,242,,,-
,,,,-,-,
-,-,-,"(1,488)","(1,488)",-,"(1,488)"
"1,815","11,664","(2,027)","17,251","28,703","3,429","32,132"
