Column,"Site
restoration
and litigation
Shs’ million","Leave
pay
Shs’ million","Service
gratuity
Shs’ million","Long
service
awards
Shs’ million","2013
Total
Shs’ million","2012
Total
Shs’ million"
"GROUP
At beginning of year
Additional provisions
Utilised during the year","367
331
-","19
6
-","595
117
(75)","80
3
(8)","1,061
457
(83)","752
323
(14)
1,061
505
556
1,061
684
290
(14)
960
404
556
960"
At end of year,698,25,637,75,"1,435",
"Categorised as:
Current portion
Non-current portion","333
365","4
21","78
559","5
70","410
1,025",
,698,25,637,75,"1,435",
"COMPANY
At beginning of year
Additional provisions
Utilised during the year","324
348
-","19
6
-","556
86
(73)","61
3
(5)","960
443
(78)",
At end of year,672,25,569,59,"1,325",
"Categorised as:
Current portion
Non-current portion","321
351","3
22","73
496","5
54","402
923",
,672,25,569,59,"1,325",
