Column,Kshs Million,Kshs Million,Column
Description,2014,2013,% change
,"36,029",,6%
,602,,52%
,"36,631",,7%
,"2,425",,4%
,60,,-3%
,"1,793",,-1%
,"5,648",,44%
,663,,57%
,4,,0%
,827,,-10%
,"26,423",,6%
,"(1,212)",,"-3,563%"
,"36,631",,7%
,932,,0%
,39,,5%
