Director,Category,Board,Audit & Risk Committee,NR&HR Committee,AGM
,Non-executive,8/8,-,3/3,1/1
,Executive,8/8,5/5,3/3,1/1
,Executive,7/8,5/5,-,1/1
,Non-executive,8/8,5/5,2/3,1/1
,Non-executive,8/8,-,3/3,1/1
,Executive,8/8,5/5,-,1/1
,Non-executive,8/8,5/5,3/3,1/1
,Non-executive,7/8,5/5,-,1/1
,None-executive,7/8,-,-,1/1
,Non-executive,3/8,-,0/3,1/1
,Non-executive,5/8,4/5,-,1/1
,Non-executive,1/1,-,-,-
