"At
1 January
2019","Profit
or (loss)
(Note
12(a))","Other
comprehensive
income (Note
12(a))","Foreign
exchange
adjustment/
other","At
31
December
2019"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"6,977","(1,014)",-,-,"5,963"
(35),(8),-,-,(43)
(61),(2),-,-,(63)
(55),42,-,-,(13)
(210),22,(6),-,(182)
(218),(12),-,-,(230)
(176),(14),-,-,(190)
(18),(21),-,-,(39)
(30),30,-,-,-
"(1,355)",558,-,-,(797)
(9),-,-,2,(7)
(10),10,-,-,-
(59),-,-,-,(59)
,(98),,,(98)
-,673,,,673
(66),66,-,-,-
"4,675",244,(6),2,"4,915"
