RECEIVABLES FROM RELATED PARTIES GROUP COMPANY,Column,Column,Column,Column
,"2013
Shs’million","2012
Shs’million","2013
Shs’million","2012
Shs’million"
"Receivables from related parties
Lafarge France
Lafarge South Africa
Lafarge Technical Centre Europe
Chilanga Cement Plc Zambia
Mbeya Cement
Malawi Portland Cement
West Africa Portland Cement
Ashaka Cement Co.
Lafarge Cairo","2
5
1
14
61
16
(9)
2
32","9
1
1
-
-
24
13
-
150","2
5
1
14
61
16
(9)
2
8","9
1
1
-
-
24
13
-
150"
,124,198,100,198
"Receivables from subsidiaries
Hima Cement Limited
Bamburi Special Products Limited
Lafarge Ecosystems Limited","-
-
-","-
-
-","481
336
26","767
382
57"
,-,-,843,"1,206"
Total receivables [Note 22(a)],124,198,943,"1,404"
