Description of asset/liability,Classification
Other equity investments (Note 19),Available-for-sale investments
Trade and other receivables [Note 22 (a)],Loans and receivables
Loan to subsidiary [Note 33 (iii)],Loans and receivables
Cash and cash equivalents - cash and bank balance [Note 23 (a)],Loans and receivables
Cash and cash equivalents - short term deposits [Note 23 (a)],Loans and receivables
Trade and other payables (Note 29),Loans and borrowings
