"2019
Shs’million","2018
(Restated)
Shs’million","2019
Shs’million","2018
Shs’million"
125,"110
114",25,"43
-"
-,,-,
125,224,25,
,"(249)
73",,"78
86"
244,,259,
-,,-,
244,,259,
369,,284,
6,,9,
-,,-,
