CASH FLOWS FROM OPERATING ACTIVITIES,Notes,"2014
Shs’million","2013
Shs’million"
,33,"4,888","5,511"
,6,361,485
,12(c),"(1,404)","(1,535)"
,,"3,845","4,461"
,15(b),(312),(161)
,17,(44),(5)
,6,402,198
,,46,32
,14(a),"(5,446)","(3,808)"
,34(iii),29,33
,,"(5,417)","(3,775)"
,,"(1,526)",718
,,"8,539","7,821"
,,"(1,526)",718
,23(b),"7,013","8,539"
